x,y,z,freq,value
79.097,106.554,0.2,3000000000.0,-29.3643798828
78.936,106.855,0.2,3000000000.0,-29.8031921387
78.849,107.156,0.2,3000000000.0,-29.6964244843
78.823,107.457,0.2,3000000000.0,-29.3092308044
78.863,107.758,0.2,3000000000.0,-29.1160564423
78.998,108.059,0.2,3000000000.0,-28.689125061
79.257,108.36,0.2,3000000000.0,-28.6165065765
79.576,108.661,0.2,3000000000.0,-28.534154892
79.832,108.962,0.2,3000000000.0,-28.3034820557
79.993,109.263,0.2,3000000000.0,-28.1468849182
80.08,109.564,0.2,3000000000.0,-27.3041782379
80.106,109.865,0.2,3000000000.0,-27.7677497864
80.106,109.865,0.2,3000000000.0,-27.8609924316
80.066,110.166,0.2,3000000000.0,-28.0460777283
79.931,110.467,0.2,3000000000.0,-28.0308456421
79.672,110.768,0.2,3000000000.0,-27.2451992035
79.353,111.069,0.2,3000000000.0,-27.6574420929
79.097,111.37,0.2,3000000000.0,-27.4669532776
78.936,111.671,0.2,3000000000.0,-27.5607433319
78.849,111.972,0.2,3000000000.0,-27.5204696655
78.823,112.273,0.2,3000000000.0,-27.2490062714
78.863,112.574,0.2,3000000000.0,-26.9898262024
78.998,112.875,0.2,3000000000.0,-26.5611114502
79.257,113.176,0.2,3000000000.0,-26.2508029938
79.576,113.477,0.2,3000000000.0,-26.0607318878
79.832,113.778,0.2,3000000000.0,-26.1233329773
79.993,114.079,0.2,3000000000.0,-26.1531295776
80.08,114.38,0.2,3000000000.0,-25.8442211151
80.106,114.681,0.2,3000000000.0,-26.0749320984
80.066,114.982,0.2,3000000000.0,-26.0591869354
79.931,115.283,0.2,3000000000.0,-25.7383785248
79.672,115.584,0.2,3000000000.0,-25.7517967224
79.353,115.885,0.2,3000000000.0,-25.6661758423
79.097,116.186,0.2,3000000000.0,-25.585269928
78.936,116.487,0.2,3000000000.0,-25.3713378906
78.849,116.788,0.2,3000000000.0,-25.1261234283
78.823,117.089,0.2,3000000000.0,-25.3940391541
78.863,117.39,0.2,3000000000.0,-25.1108074188
78.998,117.691,0.2,3000000000.0,-25.0506763458
79.257,117.992,0.2,3000000000.0,-25.1279773712
79.576,118.293,0.2,3000000000.0,-24.728937149
79.832,118.594,0.2,3000000000.0,-24.9084014893
79.993,118.895,0.2,3000000000.0,-24.3878536224
80.08,119.196,0.2,3000000000.0,-24.5754318237
80.106,119.497,0.2,3000000000.0,-24.4094047546
80.066,119.798,0.2,3000000000.0,-24.6767883301
79.931,120.099,0.2,3000000000.0,-24.6784954071
79.672,120.4,0.2,3000000000.0,-24.50091362
79.353,120.701,0.2,3000000000.0,-24.3238964081
79.097,121.002,0.2,3000000000.0,-24.4175262451
78.936,121.303,0.2,3000000000.0,-24.4960021973
78.849,121.604,0.2,3000000000.0,-24.6680488586
78.823,121.905,0.2,3000000000.0,-24.5561599731
78.863,122.206,0.2,3000000000.0,-24.4216518402
78.998,122.507,0.2,3000000000.0,-24.2702827454
79.257,122.808,0.2,3000000000.0,-24.3229942322
79.257,122.808,0.2,3000000000.0,-24.2306594849
79.576,123.109,0.2,3000000000.0,-24.2294197083
79.832,123.41,0.2,3000000000.0,-24.2122631073
79.993,123.711,0.2,3000000000.0,-24.3138713837
80.08,124.012,0.2,3000000000.0,-23.9326667786
80.106,124.313,0.2,3000000000.0,-24.2036819458
80.066,124.614,0.2,3000000000.0,-23.9433784485
79.931,124.915,0.2,3000000000.0,-24.0275650024
79.672,125.216,0.2,3000000000.0,-23.8406887054
79.353,125.517,0.2,3000000000.0,-23.772851944
79.097,125.818,0.2,3000000000.0,-24.0213794708
78.936,126.119,0.2,3000000000.0,-24.1307964325
78.849,126.42,0.2,3000000000.0,-24.1596069336
78.823,126.721,0.2,3000000000.0,-24.3243598938
78.863,127.022,0.2,3000000000.0,-24.2460670471
78.998,127.323,0.2,3000000000.0,-24.1127700806
79.257,127.624,0.2,3000000000.0,-24.1444187164
79.576,127.925,0.2,3000000000.0,-23.9538421631
79.832,128.226,0.2,3000000000.0,-23.953163147
79.993,128.527,0.2,3000000000.0,-24.1175136566
80.08,128.828,0.2,3000000000.0,-24.3783950806
80.106,129.129,0.2,3000000000.0,-24.3795166016
80.066,129.43,0.2,3000000000.0,-24.3980827332
79.931,129.731,0.2,3000000000.0,-24.3626079559
79.672,130.032,0.2,3000000000.0,-24.1552066803
79.353,130.333,0.2,3000000000.0,-23.9393215179
79.097,130.634,0.2,3000000000.0,-23.9602890015
78.936,130.935,0.2,3000000000.0,-24.5347251892
78.849,131.236,0.2,3000000000.0,-24.2856712341
78.823,131.537,0.2,3000000000.0,-24.6632556915
78.863,131.838,0.2,3000000000.0,-24.5364055634
78.998,132.139,0.2,3000000000.0,-24.5023231506
79.257,132.44,0.2,3000000000.0,-24.8581504822
79.576,132.741,0.2,3000000000.0,-24.7944564819
79.832,133.042,0.2,3000000000.0,-24.5665817261
79.993,133.343,0.2,3000000000.0,-24.9247550964
80.08,133.644,0.2,3000000000.0,-25.0619163513
80.106,133.945,0.2,3000000000.0,-25.2534179687
80.066,134.246,0.2,3000000000.0,-25.0787220001
79.931,134.547,0.2,3000000000.0,-25.2487297058
79.672,134.848,0.2,3000000000.0,-25.3343505859
79.353,135.149,0.2,3000000000.0,-25.4881191254
79.097,135.45,0.2,3000000000.0,-25.6330432892
78.936,135.751,0.2,3000000000.0,-25.596736908
78.936,135.751,0.2,3000000000.0,-25.6609020233
78.849,136.052,0.2,3000000000.0,-25.9390850067
78.823,136.353,0.2,3000000000.0,-25.9199447632
78.863,136.654,0.2,3000000000.0,-25.9926223755
78.998,136.955,0.2,3000000000.0,-25.827457428
79.257,137.256,0.2,3000000000.0,-26.1672229767
79.576,137.557,0.2,3000000000.0,-26.4597873688
79.832,137.858,0.2,3000000000.0,-25.9336223602
79.993,138.159,0.2,3000000000.0,-26.507106781
80.08,138.46,0.2,3000000000.0,-26.2663097382
80.106,138.761,0.2,3000000000.0,-26.712934494
80.066,139.062,0.2,3000000000.0,-26.5383319855
79.931,139.363,0.2,3000000000.0,-26.7052364349
79.672,139.664,0.2,3000000000.0,-26.7986831665
79.353,139.965,0.2,3000000000.0,-26.8684406281
79.097,140.266,0.2,3000000000.0,-27.2854003906
78.936,140.567,0.2,3000000000.0,-27.5111808777
78.849,140.868,0.2,3000000000.0,-27.2927036285
78.823,141.169,0.2,3000000000.0,-27.4582443237
78.863,141.47,0.2,3000000000.0,-27.7246055603
78.998,141.771,0.2,3000000000.0,-27.9308414459
